Intel® Product Specification Comparison
01/07/2025 03:15:10 PM
 ,Intel® Xeon® E-2124G Processor ,Intel® Xeon® E-2176G Processor ,Intel® Xeon® E-2176M Processor ,Intel® Xeon® E-2254ME Processor ,Intel® Xeon® E-2276ME Processor ,Intel® Xeon® E-2254ML Processor ,Intel® Xeon® E-2276ML Processor ,Intel® Xeon® E-2278GEL Processor ,Intel® Xeon® E-2226GE Processor ,Intel® Xeon® E-2278GE Processor ,Intel® Xeon® E-2336 Processor ,Intel® Xeon® E-2324G Processor ,Intel® Xeon® E-2356G Processor ,Intel® Xeon® E-2334 Processor ,Intel® Xeon® E-2314 Processor ,Intel® Xeon® E-2374G Processor ,Intel® Xeon® E-2378 Processor ,Intel® Xeon® E-2378G Processor ,Intel® Xeon® E-2388G Processor ,Intel® Xeon® E-2386G Processor ,Intel® Xeon® E-2488 Processor ,Intel® Xeon® E-2478 Processor ,Intel® Xeon® E-2468 Processor ,Intel® Xeon® E-2486 Processor ,Intel® Xeon® E-2456 Processor ,Intel® Xeon® E-2436 Processor ,Intel® Xeon® E-2434 Processor ,Intel® Xeon® E-2414 Processor 
Intel® Turbo Boost Technology 2.0 Frequency‡,4.50 GHz,4.70 GHz,4.40 GHz,3.80 GHz,4.50 GHz,3.50 GHz,4.20 GHz,3.90 GHz,4.60 GHz,4.70 GHz,4.80 GHz,4.60 GHz,5.00 GHz,4.80 GHz,4.50 GHz,5.00 GHz,4.80 GHz,5.10 GHz,5.10 GHz,5.10 GHz,5.60 GHz,5.20 GHz,5.2 GHz,5.6 GHz,5.10 GHz,5.00 GHz,5.00 GHz,4.50 GHz
Processor Base Frequency,3.40 GHz,3.70 GHz,2.70 GHz,2.60 GHz,2.80 GHz,1.70 GHz,2.00 GHz,2.00 GHz,3.40 GHz,3.30 GHz,2.90 GHz,3.10 GHz,3.20 GHz,3.40 GHz,2.80 GHz,3.70 GHz,2.60 GHz,2.80 GHz,3.20 GHz,3.50 GHz,3.20 GHz,2.8 GHz,2.6 GHz,3.5 GHz,3.30 GHz,2.90 GHz,3.40 GHz,2.60 GHz
Cache,8 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,8 MB,12 MB,8 MB,12 MB,16 MB,12 MB Intel® Smart Cache,16 MB,12 MB Intel® Smart Cache,8 MB Intel® Smart Cache,12 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,16 MB Intel® Smart Cache,16 MB Intel® Smart Cache,16 MB Intel® Smart Cache,12 MB Intel® Smart Cache,24 MB,24 MB,24 MB,18 MB,18 MB,18 MB,12 MB,12 MB
Bus Speed,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,16 GT/s,16 GT/s,16 GT/s,16 GT/s,16 GT/s,16 GT/s,16 GT/s,16 GT/s
TDP,71 W,80 W,45 W,45 W,45 W,25 W,25 W,35 W,80 W,80 W,65 W,65 W,80 W,65 W,65 W,80 W,65 W,80 W,95 W,95 W,95 W,80 W,65 W,95 W,80 W,65 W,55 W,55 W
Configurable TDP-down Frequency,,,2.20 GHz,,,,,,,,,,,,,,,,,,,,,,,,,
Configurable TDP-down,,,35 W,35 W,35 W,,,,,,,,,,,,,,,,,,,,,,,
# of Performance-cores,,,,,,,,,,,,,,,,,,,,,8,8,8,6,6,6,4,4
Intel® Turbo Boost Max Technology 3.0 Frequency ‡,,,,,,,,,,,,,,,,,,,,,5.60 GHz,5.20 GHz,5.2 GHz,5.6 GHz,,,,

Supplemental Information
Marketing Status,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched
Launch Date,Q3'18,Q4'17,Q2'18,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q3'21,Q3'21,Q3'21,Q3'21,Q3'21,Q3'21,Q3'21,Q3'21,Q3'21,Q3'21,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23
Servicing Status,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing
Embedded Options Available,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Use Conditions,Embedded Broad Market Commercial Temp,PC/Client/Tablet,PC/Client/Tablet,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise
Description,Support for up to 128GB system memory capacity will be available in 2019 and requires both a BIOS update and hardware platform support. Please contact your hardware provider regarding availability for your system.,Support for up to 128GB system memory capacity will be available in 2019 and requires both a BIOS update and hardware platform support. Please contact your hardware provider regarding availability for your system.,,,,,,,,,,,,,,,,,,,,,,,,,,
Included Items,This product is available in tray and box. For boxed product |  a thermal solution is included,This product is available in tray and box. For boxed product |  a thermal solution is included,,,,,,,,,,,,,,,,,,,,,,,,,,

Memory Specifications
Max Memory Size (dependent on memory type),128 GB,128 GB,64 GB,64 GB,64 GB,64 GB,64 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB
Memory Types,DDR4-2666,DDR4-2666,DDR4-2666 |  LPDDR3-2133,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-3200,DDR4-3200,DDR4-3200,DDR4-3200,DDR4-3200,DDR4-3200,DDR4-3200,DDR4-3200,DDR4-3200,DDR4-3200,DDR5-4800,DDR5-4800,DDR5-4800,DDR5-4800,DDR5-4800,DDR5-4800,DDR5-4800,DDR5-4800
Max # of Memory Channels,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Max Memory Bandwidth,41.6 GB/s,41.6 GB/s,,,,,,41.6 GB/s,41.6 GB/s,41.6 GB/s,,,,,,,,,,,,,,,,,,
ECC Memory Supported   ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Optane™ DC Persistent Memory Supported,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No

GPU Specifications
GPU Name‡,Intel® UHD Graphics P630,Intel® UHD Graphics P630,Intel® UHD Graphics P630,Intel® UHD Graphics P630,Intel® UHD Graphics P630,Intel® UHD Graphics P630,Intel® UHD Graphics P630,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® UHD Graphics 630,,Intel® UHD Graphics P750,Intel® UHD Graphics P750,,,Intel® UHD Graphics P750,,Intel® UHD Graphics P750,Intel® UHD Graphics P750,Intel® UHD Graphics P750,,,,,,,,
Graphics Base Frequency,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,,350 MHz,350 MHz,,,350 MHz,,350 MHz,350 MHz,350 MHz,,,,,,,,
Graphics Max Dynamic Frequency,1.15 GHz,1.20 GHz,1.20 GHz,1.10 GHz,1.15 GHz,1.10 GHz,1.15 GHz,1.20 GHz,1.20 GHz,1.20 GHz,,1.30 GHz,1.30 GHz,,,1.30 GHz,,1.30 GHz,1.30 GHz,1.30 GHz,,,,,,,,
Graphics Video Max Memory,128 GB,128 GB,64 GB,64 GB,64 GB,64 GB,64 GB,128 GB,128 GB,128 GB,,64 GB,64 GB,,,64 GB,,64 GB,64 GB,64 GB,,,,,,,,
Graphics Output,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,,,,,,,,,,,,,,,,,,
4K Support,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,,Yes |  at 60Hz,Yes |  at 60Hz,,,Yes |  at 60Hz,,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,,,,,,,,
Max Resolution (HDMI)‡,4096x2160@24Hz,4096x2160@24Hz,4096x2304@30Hz,4096x2160@30Hz,4096x2160@30Hz,4096x2160@30Hz,4096x2160@30Hz,4096x2160@30Hz,4096x2160@30Hz,4096x2160@30Hz,,4096 x 2160 @60 Hz,4096 x 2160 @60 Hz,,,4096 x 2160 @60 Hz,,4096 x 2160 @60 Hz,4096 x 2160 @60 Hz,4096 x 2160 @60 Hz,,,,,,,,
Max Resolution (DP)‡,4096x2304@60Hz,4096x2304@60Hz,4096x2304@30Hz,4096x2304@30Hz,4096x2304@30Hz,4096x2304@30Hz,4096x2304@30Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,,5120 x 3200 @ 60 Hz,5120 x 3200 @ 60 Hz,,,5120 x 3200 @ 60 Hz,,5120 x 3200 @ 60 Hz,5120 x 3200 @ 60 Hz,5120 x 3200 @ 60 Hz,,,,,,,,
Max Resolution (eDP - Integrated Flat Panel)‡,4096x2304@60Hz,4096x2304@60Hz,4096x2304@30Hz,4096x2304@30Hz,4096x2304@30Hz,4096x2304@30Hz,4096x2304@30Hz,4096x2304@60Hz,4096x2304@60Hz,4096x2304@60Hz,,5120 x 3200 @ 60 Hz,5120 x 3200 @ 60 Hz,,,5120 x 3200 @ 60 Hz,,5120 x 3200 @ 60 Hz,5120 x 3200 @ 60 Hz,5120 x 3200 @ 60 Hz,,,,,,,,
Max Resolution (VGA)‡,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
DirectX* Support,12,12,12,12,12,12,12,12,12,12,,12.1,12.1,,,12.1,,12.1,12.1,12.1,,,,,,,,
OpenGL* Support,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,,4.5,4.5,,,4.5,,4.5,4.5,4.5,,,,,,,,
Intel® Quick Sync Video,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,Yes,,Yes,Yes,Yes,,,,,,,,
Intel® InTru™ 3D Technology,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,Yes,,Yes,Yes,Yes,,,,,,,,
Intel® Clear Video HD Technology,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,Yes,,Yes,Yes,Yes,,,,,,,,
Intel® Clear Video Technology,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,Yes,,Yes,Yes,Yes,,,,,,,,
# of Displays Supported ‡,3,3,3,3,3,3,3,3,3,3,,1,1,,,1,,1,1,1,,,,,,,,
Device ID,0x3E96,0x3E96,0x3E9B,0x3E94,0x3E94,0x3E94,0x3E94,0x3E9A,0x3E9A,0x3E9A,,0x4C9A,0x4C9A,,,0x4C9A,,0x4C9A,0x4C9A,0x4C9A,,,,,,,,
Execution Units,,,,,,,,,,,,32,32,,,32,,32,32,32,,,,,,,,

Expansion Options
Scalability,1S Only,1S Only,,,,,,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only
PCI Express Revision,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5,5,5,5,5,5,5,5
PCI Express Configurations ‡,Up to 1x16 |  2x8 |  1x8+2x4,Up to 1x16 |  2x8 |  1x8+2x4,Up to 1x16 |  2x8 |  1x8+2x4,Up to 1x16 |  2x8 |  1x8+2x4,Up to 1x16 |  2x8 |  1x8+2x4,Up to 1x16 |  2x8 |  1x8+2x4,Up to 1x16 |  2x8 |  1x8+2x4,Up to 1x16 |  2x8 |  1x8+2x4,Up to 1x16 |  2x8 |  1x8+2x4,Up to 1x16 |  2x8 |  1x8+2x4,Up to 1x16+1x4 |  2x8+1x4 |  1x8+3x4,Up to 1x16+1x4 |  2x8+1x4 |  1x8+3x4,Up to 1x16+1x4 |  2x8+1x4 |  1x8+3x4,Up to 1x16+1x4 |  2x8+1x4 |  1x8+3x4,Up to 1x16+1x4 |  2x8+1x4 |  1x8+3x4,Up to 1x16+1x4 |  2x8+1x4 |  1x8+3x4,Up to 1x16+1x4 |  2x8+1x4 |  1x8+3x4,Up to 1x16+1x4 |  2x8+1x4 |  1x8+3x4,Up to 1x16+1x4 |  2x8+1x4 |  1x8+3x4,Up to 1x16+1x4 |  2x8+1x4 |  1x8+3x4,Up to 1x16+1x4 |  2x8+1x4,Up to 1x16+1x4 |  2x8+1x4,Up to 1x16+1x4 |  2x8+1x4,Up to 1x16+1x4 |  2x8+1x4,Up to 1x16+1x4 |  2x8+1x4,Up to 1x16+1x4 |  2x8+1x4,Up to 1x16+1x4 |  2x8+1x4,Up to 1x16+1x4 |  2x8+1x4
Max # of PCI Express Lanes,16,16,16,16,16,16,16,16,16,16,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Microprocessor PCIe Revision,,,,,,,,,,,Gen 4,Gen 4,Gen 4,Gen 4,Gen 4,Gen 4,Gen 4,Gen 4,Gen 4,Gen 4,Gen 5,Gen 5,Gen 5,Gen 5,Gen 5,Gen 5,Gen 5,Gen 5
Max # of DMI Lanes,,,,,,,,,,,,,,,,,,,,,8,8,8,8,8,8,8,8

Package Specifications
Sockets Supported,FCLGA1151,FCLGA1151,FCBGA1440,FCBGA1440,FCBGA1440,FCBGA1440,FCBGA1440,FCLGA1151,FCLGA1151,FCLGA1151,FCLGA1200,FCLGA1200,FCLGA1200,FCLGA1200,FCLGA1200,FCLGA1200,FCLGA1200,FCLGA1200,FCLGA1200,FCLGA1200,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700
Max CPU Configuration,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TJUNCTION,100°C,100°C,100°C,100,100,100,100,,,,100 °C,100 °C,100 °C,100 °C,100 °C,100 °C,100 °C,100 °C,100 °C,100 °C,100 °C,100 °C,100 °C,100 °C,100 °C,100 °C,100 °C,100 °C
Package Size,37.5mm x 37.5mm,37.5mm x 37.5mm,42mm x 28mm,42mm x 28mm,42mm x 28mm,42mm x 28mm,42mm x 28mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5 mm x 37.5 mm,37.5 mm x 37.5 mm,37.5 mm x 37.5 mm,37.5 mm x 37.5 mm,37.5 mm x 37.5 mm,37.5 mm x 37.5 mm,37.5 mm x 37.5 mm,37.5 mm x 37.5 mm,37.5 mm x 37.5 mm,37.5 mm x 37.5 mm,,,,,,,,

Advanced Technologies
Intel® Optane™ Memory Supported ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,
Intel® Turbo Boost Technology ‡,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,2,2,2,2,2,2
Intel® Hyper-Threading Technology ‡,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
Intel® Transactional Synchronization Extensions,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Intel® 64 ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Instruction Set,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit
Instruction Set Extensions,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2 |  Intel® AVX-512,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2 |  Intel® AVX-512,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2 |  Intel® AVX-512,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2 |  Intel® AVX-512,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2 |  Intel® AVX-512,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2 |  Intel® AVX-512,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2 |  Intel® AVX-512,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2 |  Intel® AVX-512,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2 |  Intel® AVX-512,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2 |  Intel® AVX-512,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2
Idle States,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Enhanced Intel SpeedStep® Technology,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Thermal Monitoring Technologies,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Speed Shift Technology,,,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,
Intel® My WiFi Technology,,,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,
Intel® Flex Memory Access,,,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,
Intel® Identity Protection Technology ‡,,,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,
Intel® Turbo Boost Max Technology 3.0 ‡,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,No,No,No,No

Security & Reliability
Intel vPro® Eligibility ‡,Intel vPro® Platform,Intel vPro® Platform,Intel vPro® Platform,Intel vPro® Platform,Intel vPro® Platform,Intel vPro® Platform,Intel vPro® Platform,Intel vPro® Platform,Intel vPro® Platform,Intel vPro® Platform,Intel vPro® Platform,Intel vPro® Platform,Intel vPro® Platform,Intel vPro® Platform,Intel vPro® Platform,Intel vPro® Platform,Intel vPro® Platform,Intel vPro® Platform,Intel vPro® Platform,Intel vPro® Platform,,,,,,,,
Intel® Software Guard Extensions (Intel® SGX),Yes with Intel® ME,Yes with both Intel® SPS and Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with both Intel® SPS and Intel® ME,Yes with Intel® ME,Yes with both Intel® SPS and Intel® ME,Yes with Intel® SPS,Yes with Intel® SPS,Yes with Intel® SPS,Yes with Intel® SPS,Yes with Intel® SPS,Yes with Intel® SPS,Yes with Intel® SPS,Yes with Intel® SPS,Yes with Intel® SPS,Yes with Intel® SPS,,,,,,,,
Intel® AES New Instructions,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Secure Key,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Memory Protection Extensions (Intel® MPX),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,
Intel® OS Guard,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Trusted Execution Technology ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Execute Disable Bit ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Boot Guard,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
