Intel® Product Specification Comparison
01/07/2025 03:16:59 PM
 ,Intel® Xeon® Processor D-1533N ,Intel® Xeon® Processor D-1513N ,Intel® Xeon® Processor D-1543N ,Intel® Xeon® Processor D-1523N ,Intel® Xeon® Processor D-1553N ,Intel® Xeon® D-2123IT Processor ,Intel® Xeon® D-2141I Processor ,Intel® Xeon® D-2143IT Processor ,Intel® Xeon® D-2142IT Processor ,Intel® Xeon® D-2145NT Processor ,Intel® Xeon® D-2146NT Processor ,Intel® Xeon® D-2161I Processor ,Intel® Xeon® D-2177NT Processor ,Intel® Xeon® D-2163IT Processor ,Intel® Xeon® D-2173IT Processor ,Intel® Xeon® D-2166NT Processor ,Intel® Xeon® D-2187NT Processor ,Intel® Xeon® D-2183IT Processor ,Intel® Xeon® Processor D-1524N ,Intel® Xeon® D-1653N Processor ,Intel® Xeon® D-1602 Processor ,Intel® Xeon® D-1622 Processor ,Intel® Xeon® D-1623N Processor ,Intel® Xeon® D-1627 Processor ,Intel® Xeon® D-1637 Processor ,Intel® Xeon® D-1633N Processor ,Intel® Xeon® D-1649N Processor ,Intel® Xeon® D-1736NT Processor ,Intel® Xeon® D-1733NT Processor ,Intel® Xeon® D-1746TER Processor ,Intel® Xeon® D-1749NT Processor ,Intel® Xeon® D-1713NT Processor ,Intel® Xeon® D-1735TR Processor ,Intel® Xeon® D-1713NTE Processor ,Intel® Xeon® D-1715TER Processor ,Intel® Xeon® D-1732TE Processor ,Intel® Xeon® D-1718T Processor ,Intel® Xeon® D-1712TR Processor ,Intel® Xeon® D-1714 Processor ,Intel® Xeon® D-1739 Processor ,Intel® Xeon® D-1736 Processor ,Intel® Xeon® D-1726 Processor ,Intel® Xeon® D-1722NE Processor ,Intel® Xeon® D-1734NT Processor ,Intel® Xeon® D-1702 Processor ,Intel® Xeon® D-1747NTE Processor ,Intel® Xeon® D-1748TE Processor ,Intel® Xeon® D-2712T Processor ,Intel® Xeon® D-2733NT Processor ,Intel® Xeon® D-2738 Processor ,Intel® Xeon® D-2745NX Processor ,Intel® Xeon® D-2753NT Processor ,Intel® Xeon® D-2757NX Processor ,Intel® Xeon® D-2776NT Processor ,Intel® Xeon® D-2777NX Processor ,Intel® Xeon® D-2766NT Processor ,Intel® Xeon® D-2779 Processor ,Intel® Xeon® D-2795NT Processor ,Intel® Xeon® D-2799 Processor ,Intel® Xeon® D-2798NX Processor ,Intel® Xeon® D-2798NT Processor ,Intel® Xeon® D-2752NTE Processor ,Intel® Xeon® D-2752TER Processor ,Intel® Xeon® D-2796NT Processor ,Intel® Xeon® D-2775TE Processor ,Intel® Xeon® D-2796TE Processor ,Intel® Xeon® D-2786NTE Processor ,Intel® Xeon® D-2739NT Processor ,Intel® Xeon® D-1731NTE Processor ,Intel® Xeon® D-1823NT Processor ,Intel® Xeon® D-1834 Processor ,Intel® Xeon® D-1846 Processor ,Intel® Xeon® D-1813NT Processor ,Intel® Xeon® D-1848TER Processor ,Intel® Xeon® D-1844NT Processor ,Intel® Xeon® D-2832NT Processor ,Intel® Xeon® D-2896NT Processor ,Intel® Xeon® D-2899NT Processor ,Intel® Xeon® D-2843NT Processor ,Intel® Xeon® D-2896TER Processor ,Intel® Xeon® D-2876NT Processor ,Intel® Xeon® Processor D-1520 ,Intel® Xeon® Processor D-1540 ,Intel® Xeon® Processor D-1529 ,Intel® Xeon® Processor D-1527 ,Intel® Xeon® Processor D-1537 ,Intel® Xeon® Processor D-1528 ,Intel® Xeon® Processor D-1541 ,Intel® Xeon® Processor D-1539 ,Intel® Xeon® Processor D-1518 ,Intel® Xeon® Processor D-1521 ,Intel® Xeon® Processor D-1531 ,Intel® Xeon® Processor D-1548 ,Intel® Xeon® Processor D-1559 ,Intel® Xeon® Processor D-1577 ,Intel® Xeon® Processor D-1571 ,Intel® Xeon® Processor D-1567 ,Intel® Xeon® Processor D-1557 
Intel® Turbo Boost Technology 2.0 Frequency‡,2.70 GHz,2.20 GHz,2.50 GHz,2.60 GHz,2.70 GHz,,,,,,,,,,,,,,,3.20 GHz,3.20 GHz,3.20 GHz,3.20 GHz,3.20 GHz,3.20 GHz,3.20 GHz,3.00 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.60 GHz,2.60 GHz,,2.70 GHz,2.30 GHz,2.50 GHz,2.70 GHz,2.20 GHz,,2.70 GHz,2.70 GHz,2.60 GHz,2.10 GHz,2.10 GHz,2.10 GHz,2.70 GHz,2.10 GHz
Processor Base Frequency,2.10 GHz,1.60 GHz,1.90 GHz,2.00 GHz,2.30 GHz,2.20 GHz,2.20 GHz,2.20 GHz,1.90 GHz,1.90 GHz,2.30 GHz,2.20 GHz,1.90 GHz,2.10 GHz,1.70 GHz,2.00 GHz,2.00 GHz,2.20 GHz,2.00 GHz,2.80 GHz,2.50 GHz,2.60 GHz,2.40 GHz,2.90 GHz,2.90 GHz,2.50 GHz,2.30 GHz,2.70 GHz,2.00 GHz,2.00 GHz,3.00 GHz,2.20 GHz,2.20 GHz,2.20 GHz,2.40 GHz,1.90 GHz,2.60 GHz,2.00 GHz,2.30 GHz,3.00 GHz,2.30 GHz,2.90 GHz,1.70 GHz,2.00 GHz,1.60 GHz,2.50 GHz,2.30 GHz,1.90 GHz,2.10 GHz,2.50 GHz,2.40 GHz,2.00 GHz,2.50 GHz,2.10 GHz,2.20 GHz,2.00 GHz,2.50 GHz,2.00 GHz,2.40 GHz,2.10 GHz,2.10 GHz,1.90 GHz,1.80 GHz,2.00 GHz,2.00 GHz,2.00 GHz,2.10 GHz,2.50 GHz,1.70 GHz,2.80 GHz,1.80 GHz,2.00 GHz,2.20 GHz,2.00 GHz,2.00 GHz,2.10 GHz,2.00 GHz,2.20 GHz,2.00 GHz,2.00 GHz,2.00 GHz,2.20 GHz,2.00 GHz,1.30 GHz,2.20 GHz,1.70 GHz,1.90 GHz,2.10 GHz,1.60 GHz,2.20 GHz,2.40 GHz,2.20 GHz,2.00 GHz,1.50 GHz,1.30 GHz,1.30 GHz,2.10 GHz,1.50 GHz
Cache,9 MB,6 MB,12 MB,6 MB,12 MB,8 MB,11 MB,11 MB,11 MB,11 MB,11 MB,16.5 MB L2 Cache,19 MB,17 MB,19 MB,17 MB,22 MB,22 MB,6 MB,12 MB,3 MB,6 MB,6 MB,6 MB,9 MB,9 MB,12 MB,15 MB,15 MB,15 MB,15 MB,10 MB,15 MB,10 MB,10 MB,15 MB,10 MB,10 MB,10 MB,15 MB,15 MB,10 MB,10 MB,15 MB,5 MB,15 MB,15 MB,15 MB,15 MB,15 MB,17.5 MB,20 MB,20 MB,25 MB,25 MB,20 MB,25 MB,30 MB,30 MB,30 MB,30 MB,20 MB,20 MB,30 MB,25 MB,30 MB,27.5 MB,15 MB,15 MB,10240,15360,15360,10240,15360,15360,15 MB,30 MB,30 MB,15 MB,30 MB,20 MB,6 MB,12 MB,6 MB,6 MB,12 MB,9 MB,12 MB,12 MB,6 MB,6 MB,9 MB,12 MB,18 MB,24 MB,24 MB,18 MB,18 MB
# of QPI Links,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TDP,45 W,35 W,45 W,45 W,65 W,60 W,65 W,65 W,65 W,65 W,80 W,90 W,105 W,75 W,70 W,85 W,110 W,100 W,45 W,65 W,27 W,40 W,35 W,45 W,55 W,45 W,45 W,67 W,53 W,67 W,90 W,45 W,59 W,45 W,50 W,52 W,46 W,40 W,38 W,83 W,55 W,70 W,36 W,50 W,25 W,80 W,65 W,65 W,80 W,88 W,96 W,87 W,107 W,117 W,116 W,97 W,126 W,110 W,129 W,126 W,125 W,84 W,77 W,120 W,100 W,118 W,118 W,97 W,45 W,55 W,42 W,55 W,42 W,57 W,55 W,70 W,117 W,135 W,80 W,110 W,100 W,45 W,45 W,20 W,35 W,35 W,35 W,45 W,35 W,35 W,45 W,45 W,45 W,45 W,45 W,45 W,65 W,45 W
# of UPI Links,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
# of Performance-cores,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,10,10,4,8,4,4,8,4,4,4,8,8,6,6,8,2,10,10,4,8,8,10,12,12,16,16,14,16,20,20,20,20,12,12,20,16,20,18,8,8,6,8,10,4,10,10,,,,,,,,,,,,,,,,,,,,,,,
Intel® Deep Learning Boost (Intel® DL Boost) on CPU,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,

Supplemental Information
Marketing Status,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched
Launch Date,Q3'17,Q3'17,Q3'17,Q3'17,Q3'17,Q1'18,Q1'18,Q1'18,Q1'18,Q1'18,Q1'18,Q1'18,Q1'18,Q1'18,Q1'18,Q1'18,Q1'18,Q1'18,Q4'18,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q1'22,Q1'22,Q1'22,Q1'22,Q1'22,Q1'22,Q1'22,Q1'22,Q1'22,Q1'22,Q1'22,Q1'22,Q1'22,Q1'22,Q1'22,Q1'22,Q1'22,Q1'22,Q1'22,Q1'22,Q1'22,Q1'22,Q1'22,Q3'22,Q1'22,Q3'22,Q1'22,Q3'22,Q1'22,Q1'22,Q1'22,Q1'22,Q3'22,Q1'22,Q1'22,Q1'22,Q1'22,Q1'22,Q1'22,Q1'22,Q1'22,Q1'22,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q1'15,Q1'15,Q2'16,Q4'15,Q4'15,Q4'15,Q4'15,Q2'16,Q4'15,Q4'15,Q4'15,Q4'15,Q2'16,Q1'16,Q1'16,Q1'16,Q1'16
Embedded Options Available,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes
