Intel® Product Specification Comparison
01/07/2025 03:18:19 PM
 ,Intel® Xeon® Platinum 8470Q Processor ,Intel® Xeon® Platinum 8470 Processor ,Intel® Xeon® Gold 6414U Processor ,Intel® Xeon® Gold 6454S Processor ,Intel® Xeon® Platinum 8468 Processor ,Intel® Xeon® Platinum 8460Y+ Processor ,Intel® Xeon® Gold 6430 Processor ,Intel® Xeon® Platinum 8454H Processor ,Intel® Xeon® Platinum 8468V Processor ,Intel® Xeon® Platinum 8461V Processor ,Intel® Xeon® Platinum 8458P Processor ,Intel® Xeon® Platinum 8460H Processor ,Intel® Xeon® Platinum 8471N Processor ,Intel® Xeon® Platinum 8480+ Processor ,Intel® Xeon® Platinum 8490H Processor ,Intel® Xeon® Platinum 8470N Processor ,Intel® Xeon® Platinum 8444H Processor ,Intel® Xeon® Platinum 8468H Processor ,Intel® Xeon® Platinum 8450H Processor ,Intel® Xeon® Platinum 8452Y Processor ,Intel® Xeon® Bronze 3408U Processor ,Intel® Xeon® Gold 5415+ Processor ,Intel® Xeon® Gold 5412U Processor ,Intel® Xeon® Gold 6434 Processor ,Intel® Xeon® Silver 4410Y Processor ,Intel® Xeon® Gold 6426Y Processor ,Intel® Xeon® Silver 4416+ Processor ,Intel® Xeon® Gold 5418Y Processor ,Intel® Xeon® Gold 6442Y Processor ,Intel® Xeon® Gold 5420+ Processor ,Intel® Xeon® Gold 6438Y+ Processor ,Intel® Xeon® Platinum 8462Y+ Processor ,Intel® Xeon® Gold 6448Y Processor ,Intel® Xeon® Gold 6444Y Processor ,Intel® Xeon® Gold 6458Q Processor ,Intel® Xeon® Gold 6434H Processor ,Intel® Xeon® Silver 4410T Processor ,Intel® Xeon® Gold 6416H Processor ,Intel® Xeon® Gold 6418H Processor ,Intel® Xeon® Gold 6448H Processor ,Intel® Xeon® Gold 5418N Processor ,Intel® Xeon® Gold 5411N Processor ,Intel® Xeon® Gold 6428N Processor ,Intel® Xeon® Gold 6421N Processor ,Intel® Xeon® Gold 5416S Processor ,Intel® Xeon® Gold 6438N Processor ,Intel® Xeon® Gold 6438M Processor ,Intel® Xeon® Gold 5433N Processor ,Intel® Xeon® Gold 5423N Processor ,Intel® Xeon® Gold 6433N Processor ,Intel® Xeon® Gold 6433NE Processor ,Intel® Xeon® Gold 6423N Processor ,Intel® Xeon® Gold 6403N Processor ,Intel® Xeon® Gold 6443N Processor ,Intel® Xeon® Silver 4509Y Processor ,Intel® Xeon® Silver 4510 Processor ,Intel® Xeon® Silver 4510T Processor ,Intel® Xeon® Bronze 3508U Processor ,Intel® Xeon® Platinum 8571N Processor ,Intel® Xeon® Platinum 8568Y+ Processor ,Intel® Xeon® Gold 6530 Processor ,Intel® Xeon® Platinum 8580 Processor ,Intel® Xeon® Platinum 8593Q Processor ,Intel® Xeon® Platinum 8558 Processor ,Intel® Xeon® Platinum 8558P Processor ,Intel® Xeon® Platinum 8592+ Processor ,Intel® Xeon® Gold 6554S Processor ,Intel® Xeon® Platinum 8570 Processor ,Intel® Xeon® Platinum 8558U Processor ,Intel® Xeon® Platinum 8581V Processor ,Intel® Xeon® Platinum 8592V Processor ,Intel® Xeon® Gold 6534 Processor ,Intel® Xeon® Silver 4516Y+ Processor ,Intel® Xeon® Silver 4514Y Processor ,Intel® Xeon® Platinum 8562Y+ Processor ,Intel® Xeon® Gold 6542Y Processor ,Intel® Xeon® Gold 6526Y Processor ,Intel® Xeon® Gold 5520+ Processor ,Intel® Xeon® Gold 5515+ Processor ,Intel® Xeon® Gold 6538Y+ Processor ,Intel® Xeon® Gold 6548Y+ Processor ,Intel® Xeon® Gold 5512U Processor ,Intel® Xeon® Gold 6558Q Processor ,Intel® Xeon® Gold 6548N Processor ,Intel® Xeon® Gold 6538N Processor ,Intel® Xeon® Gold 6544Y Processor ,Intel® Xeon® Gold 5403N Processor 
Max Turbo Frequency,3.80 GHz,3.80 GHz,3.40 GHz,3.40 GHz,3.80 GHz,3.70 GHz,3.40 GHz,3.40 GHz,3.80 GHz,3.70 GHz,3.80 GHz,3.80 GHz,3.60 GHz,3.80 GHz,3.50 GHz,3.60 GHz,4.00 GHz,3.80 GHz,3.50 GHz,3.20 GHz,1.90 GHz,4.10 GHz,3.90 GHz,4.10 GHz,3.90 GHz,4.10 GHz,3.90 GHz,3.80 GHz,4.00 GHz,4.10 GHz,4.00 GHz,4.10 GHz,4.10 GHz,4.00 GHz,4.00 GHz,4.10 GHz,4.00 GHz,4.20 GHz,4.00 GHz,4.10 GHz,3.80 GHz,3.90 GHz,3.80 GHz,3.60 GHz,4.00 GHz,3.60 GHz,3.90 GHz,4.10 GHz,4.00 GHz,3.60 GHz,3.60 GHz,3.60 GHz,3.60 GHz,3.60 GHz,4.1 GHz,4.1 GHz,3.7 GHz,2.2 GHz,4 GHz,4 GHz,4 GHz,4 GHz,3.9 GHz,4 GHz,4 GHz,3.9 GHz,4 GHz,4 GHz,4 GHz,3.9 GHz,3.9 GHz,4.2 GHz,3.7 GHz,3.4 GHz,4.1 GHz,4.1 GHz,3.9 GHz,4 GHz,4.1 GHz,4 GHz,4.1 GHz,3.7 GHz,4.1 GHz,4.1 GHz,4.1 GHz,4.1 GHz,3.9 GHz
Processor Base Frequency,2.10 GHz,2.00 GHz,2.00 GHz,2.20 GHz,2.10 GHz,2.00 GHz,2.10 GHz,2.10 GHz,2.40 GHz,2.20 GHz,2.70 GHz,2.20 GHz,1.80 GHz,2.00 GHz,1.90 GHz,1.70 GHz,2.90 GHz,2.10 GHz,2.00 GHz,2.00 GHz,1.80 GHz,2.90 GHz,2.10 GHz,3.70 GHz,2.00 GHz,2.50 GHz,2.00 GHz,2.00 GHz,2.60 GHz,2.00 GHz,2.00 GHz,2.80 GHz,2.10 GHz,3.60 GHz,3.10 GHz,3.70 GHz,2.70 GHz,2.20 GHz,2.10 GHz,2.40 GHz,1.80 GHz,1.90 GHz,1.80 GHz,1.80 GHz,2.00 GHz,2.00 GHz,2.20 GHz,2.30 GHz,2.10 GHz,2.00 GHz,2.00 GHz,2.00 GHz,1.90 GHz,2.00 GHz,2.60 GHz,2.40 GHz,2.00 GHz,2.10 GHz,2.4 GHz,2.3 GHz,2.1 GHz,2 GHz,2.2 GHz,2.1 GHz,2.7 GHz,1.9 GHz,2.2 GHz,2.1 GHz,2 GHz,2 GHz,2 GHz,3.9 GHz,2.2 GHz,2 GHz,2.8 GHz,2.9 GHz,2.8 GHz,2.2 GHz,3.2 GHz,2.2 GHz,2.5 GHz,2.1 GHz,3.2 GHz,2.8 GHz,2.1 GHz,3.6 GHz,2 GHz
Cache,105 MB,105 MB,60 MB,60 MB,105 MB,105 MB,60 MB,82.5 MB,97.5 MB,97.5 MB,82.5 MB,105 MB,97.5 MB,105 MB,112.5 MB,97.5 MB,45 MB,105 MB,75 MB,67.5 MB,22.5 MB,22.5 MB,45 MB,22.5 MB,30 MB,37.5 MB,37.5 MB,45 MB,60 MB,52.5 MB,60 MB,60 MB,60 MB,45 MB,60 MB,22.5 MB,26.25 MB,45 MB,60 MB,60 MB,45 MB,45 MB,60 MB,60 MB,30 MB,60 MB,60 MB,37.5 MB,37.5 MB,60 MB,60 MB,52.5 MB,45 MB,60 MB,22.5 MB,30 MB,30 MB,22.5 MB,300 MB,300 MB,160 MB,300 MB,320 MB,260 MB,260 MB,320 MB,180 MB,300 MB,260 MB,300 MB,320 MB,22.5 MB,45 MB,30 MB,60 MB,60 MB,37.5 MB,52.5 MB,22.5 MB,60 MB,60 MB,52.5 MB,60 MB,60 MB,60 MB,45 MB,22.5 MB
Intel® UPI Speed,16 GT/s,16 GT/s,0 GT/s,16 GT/s,16 GT/s,16 GT/s,16 GT/s,16 GT/s,16 GT/s,0 GT/s,16 GT/s,16 GT/s,0 GT/s,16 GT/s,16 GT/s,16 GT/s,16 GT/s,16 GT/s,16 GT/s,16 GT/s,,16 GT/s,,16 GT/s,16 GT/s,16 GT/s,16 GT/s,16 GT/s,16 GT/s,16 GT/s,16 GT/s,16 GT/s,16 GT/s,16 GT/s,16 GT/s,16 GT/s,16 GT/s,16 GT/s,16 GT/s,16 GT/s,16 GT/s,,16 GT/s,,16 GT/s,16 GT/s,16 GT/s,,,,,,,,16 GT/s,16 GT/s,16 GT/s,0 GT/s,0 GT/s,20 GT/s,20 GT/s,20 GT/s,20 GT/s,20 GT/s,20 GT/s,20 GT/s,20 GT/s,20 GT/s,0 GT/s,0 GT/s,16 GT/s,20 GT/s,16 GT/s,16 GT/s,20 GT/s,20 GT/s,20 GT/s,20 GT/s,20 GT/s,20 GT/s,20 GT/s,0 GT/s,20 GT/s,20 GT/s,20 GT/s,20 GT/s,0 GT/s
Max # of UPI Links,4,4,0,4,4,4,3,4,3,0,3,4,0,4,4,3,4,4,4,4,,3,,3,2,3,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,,3,,3,3,3,,,,,,,,2,2,2,0,0,4,3,4,4,4,3,4,4,4,0,0,3,3,2,2,3,3,3,3,3,3,3,0,3,3,3,3,0
TDP,350 W,350 W,250 W,270 W,350 W,300 W,270 W,270 W,330 W,300 W,350 W,330 W,300 W,350 W,350 W,300 W,270 W,330 W,250 W,300 W,125 W,150 W,185 W,195 W,150 W,185 W,165 W,185 W,225 W,205 W,205 W,300 W,225 W,270 W,350 W,195 W,150 W,165 W,185 W,250 W,165 W,165 W,185 W,185 W,150 W,205 W,205 W,160 W,145 W,205 W,205 W,195 W,185 W,195 W,125 W,150 W,115 W,125 W,300 W,350 W,270 W,350 W,385 W,330 W,350 W,350 W,270 W,350 W,300 W,270 W,330 W,195 W,185 W,150 W,300 W,250 W,195 W,205 W,165 W,225 W,250 W,185 W,350 W,250 W,205 W,270 W,115 W
Intel® Deep Learning Boost (Intel® DL Boost) on CPU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes

Supplemental Information
Marketing Status,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched
Launch Date,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q3'23,Q3'23,Q3'23,Q3'23,Q3'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23,Q4'23
Servicing Status,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing
Use Conditions,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Industrial Commercial Temp |  Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,,,,,,,,Server/Enterprise,Server/Enterprise,Industrial Commercial Temp |  Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,
Embedded Options Available,,Yes,,,,,Yes,,,,,,Yes,,,Yes,,,,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,,,,,,,,,,Yes,Yes,,,Yes,Yes,Yes,,Yes,,,Yes,Yes,,Yes
Extended Temperature Options,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Memory Specifications
